env_package	samp_size	count
	5_mL	281
	1 Liter	279
	50 g	277
	30 g	277
	50g	274
	1.5 kg	270
	25 grams	267
	250 mL	266
sediment	0.3-0.4 g	261
	3x 1cm	253
	150mg	253
	0.5 L	252
	3 - 4 cm in any single dimension tissue biopsy	252
	small quantity	249
	3	247
	40 ml	245
	150 ml	242
	10	240
	4oC	240
	RT	240
	1000ml	239
	25 cm2	238
	600g	236
	500mL	235
	"""e;N/A"""	234
	5cm x 5 cm	233
	Sub-sample	231
	10-50 mL	231
soil	500 g	229
	200 milligram	228
	15cm x 15cm	228
	0,1g	227
	2 crossed 40*20*20 cm soil cubic	226
	whole	224
	2 ml	224
	1 ml slurry in triplicates, Pooled DNA from triplicates were sequenced as 1 sample.	222
	2 liters	222
	40-50 mg	222
	214	221
	N/A	220
	200mg of stool	219
	Not applicable	219
	0.5 gram	218
	7m	216
	30 grams	216
	20ml	215
	1000	214
	2ml	213
	['', '40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area']	212
	2 grams	209
	1,swab	209
	standard swab length	207
	0.5mL	206
	0.25g composited soil	204
	16S	201
	10 leaves	201
	0.25 g of soil	198
	40 g	196
	40μL	192
	10 cm	192
	3 L	192
	0.25 g, DNEasy PowerSoil Kit	192
	2 fecal pellets	191
	900 mL	191
	2 litres	191
	4	190
	2 gr	187
	0.4 (± 0.02) g	186
	0.4 g	184
	.25 grams	183
	100 mg	181
	200ml	181
	10 soil cores mixed	180
	100 ug	180
	0.5 Kg	180
	50 m3	179
	pool of 3 mosquitoes	178
	none	177
	10g feces	176
	1.5 mL	176
	1 cell	175
	500g	174
	500mg	173
	> 3 µm	172
	0.22 - 3 µm	172
	50 mg	172
	2.5 ml	171
	15ml	169
	0.5 cm	169
	700 ml	169
	1ml TRIzol	168
	4 L	166
	Not collected	163
	15mL	160
	0.3 g	160
	6 grams	160
	15 mL	160
	15g	157
	10 x 10 x 20 cm	156
	400 microliter out of 4 milliliter analyzed	155
	250uL	154
	-	153
	depth: 15 cm	153
	5 ml	151
	0.25 g soil	150
	2 milliliter	149
	0.01g	148
	1 pool of 30 larvae	147
	1 cm x 1 cm	146
	Depth:0-20 cm,diameter: 5 cm	144
	minus20oC	144
	cDNA obtained from RNA after ultracentrifugation with 300-750 ng RNA	144
	0.25g soil for DNA extraction	144
	1*2mm*mm	143
	8 g (wet sediment)	141
	pool of 5 guts	140
	1 cm	140
	10 ml rinse fluid	138
	1000 mL	137
	Half of one faecal pellet	137
	0.5L	137
	1 individual	136
	6g	136
	0.25 gram	134
	1 nestling fecal sac	134
	3 g	134
	1.5L	134
	100mg	133
	5 to 10 grams	133
	37 cm2	133
	DNA extracted from 1 ml slurry	132
	1 g roots	132
	~250 mg soil	132
	100 mg dry weight	131
	50-200 mg	129
	whole root	128
	5 L	128
	4 g	128
	>3um	128
	0.22-3um	127
	40.21239 mL	126
	100 uL	125
	100 mg of root material	123
	21 g	121
	100,g	121
	2000 mL	120
	100ng DNA	120
	200 µl wash	120
	250ml	120
	145*145 mm squares	119
	1000 3rd stage larvae	119
	6 x 6 x 10 inches	119
	45 ml	118
	1.5 milliliter	116
	0.5 g extracted from 10 homogenized cores	116
	15 ml	115
	one individual fly	115
	1000 ml	114
	10-15 mL	113
	80 cm	113
	100 g soil	112
	2g soil	111
	2mL	110
	50-100 L	110
	Between 300mL and 1L	109
soil	500g	108
	5-g fine root	108
	500uL	106
water	50ml	106
	40 ml water	106
	2gr	105
	50-100 g	104
	800 mL	104
	3L	103
	<25 mg	102
	10 L	102
	81	101
	5mmx6mm	100
	1 mosquito	100
	20_cm2	100
	200ul	100
	2-5 mL	100
	302.4cm3	100
	500	100
	5 liters	99
	0.25 g wet peat	99
	0.05 - 0.25 g of gut content	99
	5 mL enrichment was centrifuged down to 1 mL volume which was used for DNA extraction	98
	20	98
	1 individual tick	97
	20g	97
	350 mL	97
	one cell	96
	A_composite_700g_of_soil_was_homogenized_and_a_subsample_of_0.4g_was_used_for_genomic_work.	96
	Colony	96
	~100 g	96
	approx 125 mg	96
	minus 20oC	96
	25 whole larvae	94
	2g of roots	93
	6.3 cm3	93
	na	93
	single tick	93
	72	93
	1 fecal sample	92
	0.5 g extracted	92
	20 x 1 cm random root segments	91
	15 L of seawater pumped to through a pre-filter (20-µm netting)	90
	0.25 gm	90
	TOP 15CM OF THE SEDIMENTS	90
	300bp	90
	5 cm	89
host-associated	up to 5 grams feces/gut contents	89
	10 to 100 ??m fraction	89
	300 ml	89
	30ml	89
	600 mL hot tap water	88
	~0.5 g sediment pellets in triplicates, Pooled DNA from triplicates were sequenced as 1 sample.	88
	48	88
	0,25 g	88
	2 Litres	87
	3 ml	86
	200 g	86
	rhizosphere	86
	7 - 13 ml	85
	40 grams	85
	biofilm on 0.5 cm x 3 cm plastic strip	84
	40 particles	84
	60 mL volume	84
	~10% of root volume, relative to plant material	84
	40 µL	84
sediment	c.a. 10 ml	84
	10 ml	83
	10 mL culture	83
	Aphid individuals	82
	2-3 fecal droppings/rat	82
	root	82
	255	82
	0.5 g subsample were used in the DNA extraction	81
	['', '']	81
	individuals in 20 m*20 m plots	80
	Entire_Petrifilm	80
	"Pool of three 8"" deep, 3/4"" diameter soil cores."	80
	<0.5ml	79
	50mg	79
	1-10 L	78
	Approx 10 g soil	78
	6	77
	80_mL	77
	30 mL	77
	20 g	76
	20 mL	76
	5 grams	75
	400mg	75
	~ 50 ml	75
	2500 cm³	74
	0.5-1.5g	74
	20L	73
	25 l	73
	1.5 L	73
	Pooled samples (n=5) of the same pig-pen	72
	0.7 grams	72
	0.5 g soil	72
	0.4g	72
soil	3 plants	72
	560cm3 x 10 replications x 3 100m2 plots	72
	250 mg, depth of 5 cm	72
	.1g	72
	10 cm2	71
	Pooled mucus from 3 individual fish	71
	unknown	71
	55_cm2	70
	3 Philophthalmus attenuatus reproductive redia specimens	70
	3 kg	69
	300 ul	69
	36	68
	0.2	68
	2 ounce total sample, 0.25 g subsample	68
	10ml	67
	ca. 0.5 - 1 L	66
	1 Culicoides	66
	single nucleus	66
	remainder (few mLs)	66
	3 m3 air	65
	20 L	65
	whole nodule	64
	3 pooled root fragments	64
	1 square meter	64
	8	64
miscellaneous natural or artificial environment	100 ml	64
	50	64
	composite of 20 individual samples	64
	≤ 0.5 cm in any single dimension tissue biospy	64
	10g used for DNA extraction	63
host-associated	['1 lobe of multi-lobed colony', '0.2 grams']	63
	2cm2	63
	300 g	63
	0.25 grams	62
	Approximately 100 g	62
	0.5 g fecal sample	61
	2 plant root zones	61
	15 cores of soils with 2cm in diameter	61
	pool of 10 whole foragers	61
	1000 cells	61
	500 ul	60
	1~1.5 g	60
	50 g wet weight	60
	3.8cm diameter,15cm depth	60
	> 50 g	60
	1 gut	60
	0.10 - 0.25 g tissue	60
	3-5 liters	59
	500µl	59
	2 Liters	59
	0.1, g	59
	200g	59
	254	58
	.1, g	58
	1gram	58
	~700mL	58
	5.08x20	58
	whole caecum	57
	100 m3	57
	600 mL	57
	1.1 mL of surface mucus	57
	4.7-13 g	57
	0.1m2	56
	20 fecal composites ~50 grams	56
	> 10^6 virions	56
	50 guts	56
human-associated	not determined	56
	7	56
	2kg	56
	257	56
	1m2	56
	260	55
	4.5	55
	0.5 kilo	55
	400 mL	55
	0-3 cm sediment depth	55
	29.25 cm2	55
	Unknown	55
	top 3 cm	55
	3.0 mL	55
	1 litter	55
	30 mg	54
	pool of 10 R. philippinarum hepatopancreas	54
	30μL	54
	250 g	54
	28	53
	253	53
	4 mL	53
	30¦ÌL	53
	3.02	53
	20-24 L	52
	10-10ml_thawed_ice	52
	12	52
	8L	52
	3.01	52
	96cm2	52
	21	52
	soil ~1mm from root surface (about 500 mg)	52
	30cm	51
	10-20g	51
	1000g	51
	0.5 grams	51
	22	51
	15	50
host-associated	1 grams feces	50
	256	50
	249	50
	5 copepod guts	50
	3.03	49
	18 oz	49
	1 driftwood log	49
	259	49
	.1 gram	49
	150	49
	30 ml	49
	18	49
	30	48
	4 litre	48
miscellaneous natural or artificial environment	60 CM2 surface area	48
	ca. 15 g	48
	approx. 0.25 wet root weight for DNA extraction	48
	.25g sediment	48
	appr. 2 kg fresh soil (10-15 cores)	48
	30 cm	48
	4 20cm length x 5cm diameter soil cores during field collection	48
	30 g wet weight soil	48
	16	48
	5 individuals	47
	Pellet from 1 mL mixed liquor	47
	19	47
miscellaneous natural or artificial environment	0.3 g	47
	150 g	47
	1 gram	46
	23	46
	1 fecal pellet	46
	100g	46
	approx. 250 g	46
	9	46
	247	46
	300 mL	45
	248	45
	NULL	45
	100,000 cells	45
	550ml_evaporated_LN	45
	252	44
	60 g	44
	0.75 g	44
	100mL Snowmelt	44
	40_mL	43
	3 swabs	43
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 300-m2 area	43
	1 swab	43
	175 ml	43
	800mgs	43
	15 g soil	42
	2.0 mL	42
	300g	42
	560 ul	42
	<0.5g	42
	6 cm3	42
	~1L	42
	0.4 litre	42
	1 cm2	42
	25 gr	42
	42cm2	42
	1 cm2 of tongue	42
	one swab in 200uL ethanol	42
	11	42
	Whole skin	42
	up to 20 mg	40
	100mL	40
	1 pellet	40
	14	40
	whole midgut	40
	0.173 (± 0.04) g	40
	roots pooled from five plant specimens	40
	3 cm	40
	Wing punch(>1g)	40
soil	0.5kg	40
	317cm3	40
	Pairs of swabs for each of left and right middle meatus	40
	500 mg wet sediment	40
	025g	40
	Fecal Pellet	40
	DNA obtained from DNA-SIP after ultracentrifugation with 1.5 ug RNA	40
soil	5 kg	40
	6 carriers	40
human-gut	25mg	40
	0 Individuals	40
	25	39
	A maximum of 2mL sputum and minimum of 1mL sputum was taken from each patients sample	39
	5 - 10 gm	39
	30 L of filtered volume; 1/2 of filter was used for extraction	39
	5 bees	39
	5 litre	39
	~ 50 g	39
	50-70 mg	39
	20 mLs , duplicated	39
	10 l	39
	40ml	39
	250 L	39
	250 mg sawdust	38
	20 ml	38
	251	38
	250 ml	38
	approx. 6 g of litter was incubated in the streams for collecting aquatic microbes	38
	13	38
	~ 50 mg	38
	0.5	38
	Pool of 30 Ixodes holocyclus nymphs	38
	17	38
	50L	38
	not determined	38
	26	37
	24	37
	2gm	37
	1.5 g	37
	20-200mL	37
	246	37
	About 1.5 mL	36
	1.6	36
	258	36
	100000000 CFU	36
	0.2 L	36
	3 root fragments	36
	250bp	36
	35 cm	36
	4 tubers	36
	4ml	36
	33g	36
	6 auger cores	36
	2 g of dry soil	36
host-associated	up to 5 grams mucosal scrapings	36
	80 cm3	36
	100ml	35
	n/a	35
	oil-contamiinated sample	35
	1 gm	35
	300	35
	about 0.25g	34
	1 cotton swab	34
	3.04	34
	0.3g	34
	not determined	34
	40	34
	1 Standard Fecal Pellet	34
	0.6g	34
	7 ml	33
	12 leaves	33
	250-1000 ml	33
	200	33
	12 mL	32
	12ml	32
	4900 cm3	32
	one periphytometer plate	32
	75 g	32
	2.5-3 cm2 of surface area	32
	250mg soil	32
	Composite of DNA exracted from 11 individual Å50 g fecal grabs	32
	0.2-3 μm	32
	entire body surface	32
	4-5 tubers	32
	60	31
	area	31
	One	31
	20, mg	31
	27	31
	1.0 kg	30
	200mL	30
	~150-200 mL	30
	0.3Gram	30
	5 million cells	30
	5X5 cm	30
	31	30
	33	30
	1g feces	30
	2000 ml	30
	35	30
	100cm²	30
	25 g	30
	600 ml	29
	250 uL	29
	34	29
	12 x 1/4 thoraces	29
	6cm2	29
	3.75 cm2	29
	3.05	29
	29	29
	biofilms growing on one side of the glass slides mounted under the flowing stream	29
	0.35 litre	29
	51	29
	10-15 L	29
	.25 gram	29
	20 cm	29
	5 g root with adhering soil	28
	3.06	28
	5.9 L	28
	52	28
	500 g (0.25 g for DNA extraction)	28
	1 l	28
	100 or 75 mm diameter, 25 cm increment	28
	4 mealworm guts, pooled	28
	0.8	28
	0.5 g of soil	28
	0,1 g	28
	Illumina amplicon sequencing	28
	3-5 ml	28
	9mls cell-culture material	28
	400g	28
	100cm2	28
	30ul	27
	upper 2 mm of sediment taken with sterile syringe	27
	32	27
	38	27
	42	27
	less than 50ml	27
	50μL	27
	5 x ca. 25 cm³	27
	1 cm (length)	27
	500.000 cells	27
	30g	27
	1mm	26
	8 L	26
	100	26
	20 mg	26
	45	26
	10 kg	26
	54	26
	53	26
	400cm2	26
	39	26
	41	25
	55	25
	90	25
	3 x 5 individuals	25
	9.5 lit bucket	25
	43	25
	1 entire web	25
	2.5 g sediment	25
	80	25
	0.25	25
	47	25
	25 L	25
	37	25
	~ 5cm2	25
	69	25
	1_cm_deep_core	25
	1 liter stream water filtered onto 45 mm 0.2 um filter	25
	46	25
	not available	25
	76	25
	~3 x 10^8 cells	24
	74	24
	13.3 cm2	24
	0.5 g wet sediment samples used in duplicates. Pooled DNA from duplicates were sequenced as 1 sample.	24
	<150mg	24
	150g	24
water	0.093 square meters	24
	10 leeches	24
	70	24
	10 litre	24
water	36 L	24
water	40 L	24
	10.8 m3	24
	2 L volume	24
	1 petal	24
	66	24
	56	24
	1.5 cm	24
	2 l	24
	2 gr of sediment	24
	100L	24
	~ 1-2 g	24
	6_surfaces_of_150mm_x_15mm	24
	62	24
	30.3g	24
	4.3 cm diameter	24
	2x 10 L	24
	44	24
	300 gr	24
	260 ml	24
	50 μL	24
	47/99mm	24
	40-45 mL of spent planktonic anode medium	24
	250 gr	24
	0.25 gr of sediment	24
	200 gr	24
	25g	24
	0.25 g of tissue	23
	100 L of seawater sample from four replicates were plated onto sterile Petri dishes containing marine agar 2216	23
	58	23
	3.07	23
	202bp	23
	300mg	23
	around 100 mL	23
	40 L	23
	49	23
	63	23
	SIze750 micron	22
	~0.6L	22
	1-3 L	22
	1,L	22
	one photogranule of approximately 2 mm in diameter	22
	3 mm3	22
	1444 cm2	22
	400 ml	22
	~1,000 isolated cells	22
	3 mL	22
	86	22
	1200	22
	65	22
	125 ml	22
	18 L	22
	SIze250 micron	22
	3 cm squared	22
	SIze30 micron	22
	1 L surface water	22
	67	21
	4 cm / 2-3 g per sample	21
	Hand Sample	21
	100 Individuals	21
	61	21
	59	21
	84	21
	bulk arthropods	21
	68	21
	500 mL sea water	21
	82	21
	0.5 l	21
	1 L water	21
	78	21
	57	21
	88	20
	gram	20
	500ml subsamples	20
	1ml slurry in triplicates, Pooled DNA from triplicates were sequenced as 1 sample.	20
	71	20
	3G	20
	1L filtered seawater	20
	4.35 kg	20
	19.95 cm2	20
	785R	20
	60L	20
	approx. 500 g	20
	Eu981R	20
	64	20
	500 grains	20
	Plot 1	20
	~0.5 g	20
	250microlitre	20
	Plot 2	20
	2Kg	20
	Plot 3	20
	Approx. 10 g wet weight	20
	100 cm2 of soil surface	20
soil	2 kg	20
	10x10cm	20
	0.79 mm2	20
	96	20
	83	19
	85	19
	250 mg soil	19
water	1.5 - 2L	19
	2.0 kg	19
	particle-associated	18
	14.7g of mucosal biopsy sample	18
	9 individual plants	18
	4.5L	18
	Five grams per treatment	18
	100 nematodes	18
	single fly	18
	2.5 kg	18
	0.3g (wet)	18
	30g sediment + ~40g organism	18
	4L seawater filtered on 0.22 µm Mixed Cellulose Esters (MCE) filter (47 mm of diameter)	18
	nine	18
	100 second stage juveniles	18
	no information	18
	0.3 litre	18
	0.05g	18
	79	18
	Small biopsy	18
	free-living	18
	1 cm²	18
	Pool of 5 Ixodes holocyclus females	18
	surface soil (0-20 cm)	18
	cDNA obtained from RNA after ultracentrifugation with 750 ng RNA	18
	10 whole L3 larvae	18
	1mL duodenal contents	18
	two samples	18
	5 mg of food	18
	13.88 2.57 mg	18
	77	18
	I liter	18
	~300 µL from O/N culture in rich medium	18
	12 pellets	18
	170g	18
	17.5mg of cleaned material was used for DNA isolation	18
	75	18
	Approximately 10L	17
	120 grams	17
	0.5 kg	17
	500 microliter	17
	0.2-1.6	17
	87	17
	89	17
	92	17
	whole genome	17
	30cm2	17
	3 x 200 ml	17
	245	17
	mass	17
	Stream water samples (2.5 L)	17
	SIze1600 micron	17
	1.6mL	17
	0.3	17
	5g/m2	17
	hindgut	17
	30 l	17
	2.5 g	17
	73	17
	foregut	17
	1mL (TE Buffer with 01% Triton X-100 + 0.05% Tween-20)	17
	the plasmidome population from an individual cow's rumen, cow was fed LOW fibe diet	17
	1uL	16
	100uL	16
	PM2.5	16
	100 mg for DNA extraction	16
	2 g of roots	16
	~500uL	16
water	24 L	16
	120 ml	16
	120	16
	4g of Beta-1,3-glucan per meshbag	16
	12 L	16
	Pool of four apples	16
	entire flea	16
	250mg	16
	litter	16
	10uL	16
	2 cm3	16
	4.5 L	16
	PM10	16
	20 liter	16
	4g of cellulose per meshbag	16
	4g of chitin per meshbag	16
	4g of Beta-1,3-1,6-glucan per meshbag	16
	both ceca	16
	4g of glucomannan per meshbag	16
	4 liter - filtered	16
	PM1	16
	150L	16
	4.0 kg	16
	2 mm punsch biopsy	16
	4g of pectin per meshbag	16
host-associated	5	16
	whole animal, 400 uL aliquot	16
	1700 m3/day	16
	0.3 cm²	16
	2.1-3.3μm	15
	270g	15
	95	15
	1 Kg	15
	91	15
	1000 photosynthetic picoeukaryote cells	15
	0.65-1.1μm	15
	>7.0μm	15
	n=3	15
	94	15
	93	15
	4.7-7.0μm	15
	> 10 g	15
	100 mg (average)	15
	3 Philophthalmus attenuatus cercaria specimens	15
	10 whole larvae	15
	6.0 cm2	15
	10 cm diameter core; 0-3cm core depth	15
	pooled root tissues of 20 plant	15
	10 leaflets	15
	98	15
	4g of xylan per meshbag	15
	1.1-2.1μm	15
	Microorganisms from 4-6L of seawater were filtered through 3 and 0.22um size filters	15
	3.3-4.7μm	15
	4g of lignin per meshbag	15
	~6 x 10^6 cells	15
	one litre	15
	2X10mL	15
	above 2micron 1 liter	15
	106	14
	3.6 mL	14
	112	14
	250 Individuals	14
	50 ring glands/sample	14
	115	14
	0.5 ml	14
	3 healthy plants	14
	0-0.05 m	14
	188	14
water	1 L	14
	5 cucumbers	14
	0.3 ml	14
	approx. 5L	14
	2 pellets	14
	4G	14
	1 carrier	14
	5ml	14
	110	14
	99	13
	1.8 mL	13
	~3 mls of 0.4-0.5 OD of cells in GCB growth medium	13
	250g	13
	160	13
	2 Kg	13
	15.0 mL	13
	960	13
	15 mL falcon tube	13
	480	13
	2.5G	13
	2.99	13
	25 mg	13
	108	13
	700 mL	13
	104	13
	105	13
	102	13
	600ml	13
	ectomycorrhizal morphotype voucher	13
	2 kilograms	13
	90ml	13
	1000ul	13
	7-10 L	13
	8 particles	12
sediment	top 2cm surface sediment	12
	4 soil cores combined together	12
	30ml of water	12
	5.2 kg	12
	8.5 x 8.5 cm2	12
	80 mL	12
	720	12
	16 sq cm surface area	12
	5~8 mm	12
	Pool of 10 guts	12
	20~30 mm	12
	From each tree were collected from 3 to 4 small roots fragments (diameters less than 3 mm approximately), and stored in 50 ml centrifuge tubes	12
	5.3 L	12
	235 ml	12
	4 gramms	12
	210	12
	65.6ul	12
	6.5 kg	12
	approx. 3 g	12
	225 ml	12
	6.75 kg	12
	6.9 kg	12
	5 gr of sediment	12
	80mL	12
	0.5-1 g	12
	15 aphids	12
	2.20 L	12
	4.75 kg	12
	.05 L	12
	control	12
	250ul homogenized	12
	275 ml	12
	101	12
water	2liter	12
	109	12
	200 mL	12
	10cm	12
water	150 L	12
	20000	12
	10 mg	12
	114	12
	2.5	12
water	1.5liter	12
	134ul	12
	50 L	12
	less than 5g	12
	2g in rectum	12
	50-100g	12
	2g in cecum	12
	117	12
	1litre	12
	130	12
	30ML	12
	4.5 kg	12
	118	12
	20 embryos	11
	2 (orig)	11
	3.1	11
	middle	11
	1 Litre	11
	rhizosphere from 16 plant specimens pooled	11
	Pool of 5 Ixodes holocyclus males	11
	2.4 L	11
	5 gm	11
	5000	11
	97	11
	3 leaves	11
	0	11
	15 L	11
	144	11
	15 ml liquid culture	11
	116	11
	7 L	11
	111	11
	9 root fragments	11
	0.5 gm	11
	Microorganisms from 4-6L of seawater were filtered through 20 and 3um size filters	11
	0.2 grams	11
	103	11
	107	11
	100 gm	11
	180	11
	178	11
	113	10
	not_applicable	10
	122	10
	pooled (6-12 individuals)	10
	140	10
	15 cm2	10
	100 cells	10
	20 g in total, 1 g used for the experiment	10
	soil pooled from 16 subsamples collected across a 16 sq. meter area	10
	1 µg DNA extracted from raw sediment	10
	DNA obtained after ultracentrifugation with 1 µg DNA	10
	10 copepods	10
	3mL	10
	5 g of sample for DNA extraction	10
	1950 mL	10
	~2 g	10
	6.65 kg	10
	1x10e8 cells	10
	6.4 kg	10
	175mL	10
	3.3kb	10
	about 1 g of soil	10
	5 complete eggs	10
	21 whiteflies	10
	158	10
	150 mg	10
	5.0 cm2	10
	5.0 g	10
	3L per depth (m)	10
	half tongue	10
	10-12 mL	10
human-associated	12 mL	10
	0.1	10
miscellaneous natural or artificial environment	150mg	10
soil	Four 2cm diameter cores of Oe Oa horizon were bulked per sample.	10
	0.45_to_10_um	10
	0.3 gram	10
water	180 L	10
	25 gram of soil	9
	124	9
	25 gram of soil, 120 mg straw, 100 mg biostimulant	9
	25 gram of soil, 120 mg straw	9
	1X10mL	9
	0.25 g of sediment	9
	150ml	9
	<40 mg	9
	400	9
	ectomycorrhizal morphotype	9
	154	9
	75 µl of washing PBS from 3 Philophthalmus attenuatus reproductive redia specimens	9
	RNA obtained from RNA-SIP after ultracentrifugation with 1 ug RNA	9
water	2 liter	9
	1300	9
	Cores of microbial mats (38 cm x 27 cm)	9
	0.25 liter	9
	0.15	9
	20 guts	9
	100ul	9
	0.04 (± 0.004) g	9
	3-7	9
water	0.9liter	9
	3.08	9
	about 500 g	9
	45 mL	9
	0.7g	9
	240-mL	9
	Ten	9
	35 mL	9
	190	9
	1 Philophthalmus attenuatus adult specimen	9
	45 mg	9
	60 ml	9
	900	9
	136	9
	1.0L	9
	3.1 L	9
water	N/A	9
	3.65 L	9
	750_m	8
	1.2 mL at high density	8
	146	8
	1000 g	8
	100 microliters	8
	220	8
	75 �l of PBS working solution	8
	156	8
	100 gr	8
	0.8 mg	8
	10 gms	8
	200 g soil (samp_weight_dna_ext 0.5 g)	8
	One liter	8
	408 L	8
	138	8
	2000 strains	8
	6-well plate	8
	0.252g	8
	134	8
	270 ml	8
	Combined guts from 4 fish	8
	1500 mkl	8
	205	8
	142	8
water	2 L	8
	40 pooled cores of 50-mm diam. Samples to 50 mm depth from 5000-m2 area	8
water	150 litres	8
	198	8
	1200 mL	8
	3.5 L	8
	3.5 grams	8
	190 l	8
	3X20mL	8
	3L-7L	8
	19.2ul	8
	3.6 L	8
	30s swabbing inside shell	8
	3.7 L	8
	3.75 kg	8
	185	8
	30_m	8
water	840.96 L	8
	170	8
	119	8
	5 gal	8
	4g	8
	162	8
	4 to 5 tubers	8
	2L of water	8
human-oral	1	8
	4.5 mL	8
	4.5 L seawater	8
	79.5ul	8
	128	8
	4.05 kg	8
	80 g	8
	3 x 1mL tissue slurry	8
	5 liter Sample	8
	2-5 grams of granular graphite	8
	125	8
	0.35 g	8
	1x1 cm	8
	1L water filtered	8
	123	8
	Liquid effluent samples (320 mL)	8
	940 mL	8
	1400	8
	0.25 g sediment extracted	8
	240 l	8
	~ 1 g	8
	L	8
	1-2cm	8
	1-10 gram	8
	240	8
	250_m	8
	141	8
	1600_m	7
	55 g	7
	4.0 L	7
	8 kg	7
	143	7
	3 l	7
	100m transect	7
	1ug	7
	3 mice per sample	7
	0.4	7
	3 replicates	7
	5 gr	7
	dish plates	7
	3.0 g of PHA nurdles	7
	148	7
	3.09	7
	197	7
	Pool of 30 Haemaphysalis bancrofti nymphs	7
	12mL	7
	2.8	7
	3.15 L	7
	0.7 L	7
	10-12 mL	7
	0.25cm3	7
	0.26	7
	No-template negative control	7
	152	7
	133	7
	208	7
	single animal	7
	5G	7
	155	7
	132	7
	5g of permafrost in total used in 10 technical replicate DNA extractions	7
	320 mL	7
	131	7
	350 ml	7
	20-30 g	7
	100 individuals	7
	137	7
	20 l	7
	290 ml	7
	0.251g	7
	1.6L	7
	1.3 mL PPS	7
	2.1 L	7
	3.2 L	7
	1.2 mL of infected bacteria	7
	175	7
	172	7
	5 Litre	7
	~5 g	7
	core of app. 60 cm	7
	Three times 2.5 g	7
	170 ml	7
	167	7
	194	7
	174	7
	121	7
	300L	7
	950 mL	7
	3.75 L	7
	240 ml	7
	1.2 L	7
	192	7
	subsample of ca. 1 cm3	7
	100 L	6
	90 mL	6
	96.5ul	6
	180 ml	6
	1300 mL	6
	18.26 g	6
	245 ml	6
	200 cm3	6
	157	6
	1 mm3 piece of fruit-body	6
	168.3ul	6
	182	6
	about 1 kg soil	6
	472.8ul	6
	168	6
	0 g sediment	6
	3.8L	6
water	0.8liter	6
	1000 Individuals	6
	Approx. 30 colonies	6
	76.1ul	6
	Pellet from 1 mL mixed liquor of collected biofilm	6
	173	6
	2.9	6
	74.5ul	6
	250 mls	6
	0.275	6
	738ul	6
	10 gm	6
	1500	6
	413.4ul	6
	275ul	6
	135	6
	202	6
soil	soil core 10 cm[L], 2 cm [diameter]	6
	10 ml used for DNA extraction	6
	0.6L	6
