env_package	experimental_factor	count
	Zhonghua cultivar within Conservation Agriculture	16
	Soil IT2	16
	Zhonghua cultivar within Conventional Tillage	16
host-associated	WT Before-cohousing	16
	IR64 cultivar under Conservation Agriculture	16
	IR64 cultivar under Conventional Tillage	16
	UD	16
	IR504 cultivar within Conventional Tillage	16
	IR504 cultivar within Conservation Agriculture	16
	IR504 cultivar under Conventional Tillage	16
	IR504 cultivar under Conservation Agriculture	16
	in situ	16
host-associated	KO Before-cohousing	16
	Garth	16
	hatch>hatch	16
	wild>enr	16
	hatch>enr	16
	Usk	16
	Zhonghua cultivar under Conventional Tillage	16
	Azucena cultivar within Conventional Tillage	16
	Azucena cultivar within Conservation Agriculture	16
	After 28 days of high-fat diet	16
	wild>hatch	16
	Azucena cultivar under Conventional Tillage	16
	Azucena cultivar under Conservation Agriculture	16
	Tintern	16
	SD	16
	hindguts	15
	Reference	15
	PLF3	15
	control midgut	15
	Acorn	15
	Seedling	15
	control hindgut	15
	h2 midgut	15
	h2 hindgut	15
	Seedbank	15
	h1 hindgut	15
	midguts	15
	crops	15
	PC	15
	Bareroot	15
	PLF4	15
	RLF4	15
	BalledBurlapped	15
	C	15
	h1 midgut	15
	RLF3	15
	High Nitrate	14
host-associated	BMT_Ldlrko_23ko_to_wt	14
	After 0 days of high-fat diet	14
	ethanol extract of I. obliquus	14
soil	soil type	14
	I. obliquus polysaccharide	14
	Lake 0m, t = -24h	14
	Responder.Pre.FMT	14
	size fractionation < 1 micrometer	14
	IR64 cultivar within Conventional Tillage	14
	unfiltered control	14
	asymptomatic	14
	wild>wild	14
	AlgP	13
	PecP	13
	diarrhea faeces	13
	Not applicable	13
host-associated	BMT_Ldlrko_wt_to_wt	13
	diarrheic faeces	12
	Bagley	12
	r	12
	coculture with Laminarionema elsbetiae	12
	pit fermentation day30	12
	pit fermentation day5	12
	Soil FR1	12
	rh	12
	s	12
	visibly not charred	12
	salt stress	12
	Responder.Post.FMT	12
	Replicate 4	12
	pit fermentation day15	12
	heap fermentation day1	12
	pit fermentation day10	12
	pit fermentation day0	12
	Original	12
	UV treated	12
	Lake 5m, t = -24h	12
	infrabuccal pockets	12
	t	12
	heap fermentation day3	12
	l	12
	visibly charred	12
host-associated	BMT_23ko_to_ldlrko_plus_mIL22Ig	12
	300-N	12
	150-N	12
host-associated	postHRZ	12
	10℃	12
host-associated	Parents	12
	20℃	12
water	Not provided	12
host-associated	52_wks Jax	12
soil	Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site	12
	0-N	12
	Time	11
	inoculated willow biochar	11
	willow biochar	11
host-associated	52_wks Tac	11
	Nomal Chow Diet	11
	softwood pellet biochar	11
	inoculated softwood pellet biochar	11
	water	11
	HH	10
	24 m from transect origin	10
	DH	10
	1 m from transect origin	10
	DK	10
	Normal	10
	HK	10
	Healthy plants before heading stage	10
	non-IBD	10
	13 m from transect origin	10
	Blank	10
	Control (0)	10
	Month_1	10
	Month_10	10
	4 m from transect origin	10
	5 m from transect origin	10
	Month_9	10
	Month_8	10
	Month_7	10
	25 m from transect origin	10
	Month_6	10
	Month_5	10
	soil-reared CDS infected Sf	10
	Month_3	10
	soil-reared CDS infected Sw	10
	temp	10
	Warm (+8)	10
	Warm (+3)	10
soil	Nutrients and longitude	10
	Insomnia	10
	banana intercropping with crotalaria	10
	banana intercropping with melilotus officinalis	10
	banana intercropping with sesban	10
	banana intercropping with trifolium	10
	banana intercropping with vicia villosa	10
	17 m from transect origin	10
	banana monocropping	10
	19 m from transect origin	10
	cold	10
	Soil SEN1	10
	2 m from transect origin	10
	Soil IT1	10
	Month_4	10
	soil-reared MTF infected Sf	10
	soil-reared MTF infected Sw	10
	11 m from transect origin	9
	Shrub soil	9
	Fishmeal	9
soil	Aridity	9
	0 hour	9
water	N/A	9
	1.5 hour	9
water	depth and time	9
water	Two bacterial B12-auxotrophs, isolated near Helgoland (DE), grow in co-culture without the addition of B12. The transcriptome of the co-culture was compared to those withdrawn of respective mono-cultures when B12 was amended	9
	10 m from transect origin	9
	1000M KH2PO4	9
host-associated	blank	9
	Water	9
	No treatment	9
	0_5cm_1	9
	14 m from transect origin	9
	Fishmeal-free	9
	Month_2	9
	16 hour	9
host-associated	4_wks	9
	time	9
host-associated	8_wks	9
	7 m from transect origin	9
host-associated	BMT_wt_to_ldlrko_plus_mIL22Ig	9
	9 hour	9
	22 m from transect origin	9
	Month_12	9
	9 m from transect origin	9
	16 m from transect origin	9
	CTR	9
	Month_11	9
	5M KH2PO4	9
host-associated	WT 1 month separately-housing	8
	Lake 5m, t = 5h	8
	6 m from transect origin	8
	Incubation 0mg/L H2O2, t = 24h	8
	Incubation 0mg/L H2O2, t = 48h	8
host-associated	WT 3 month separately-housing	8
	larvae	8
	Lake 0m, t = 24h	8
	1 ng Chlamydia spike-in	8
	H2 incubated	8
	Lake 5m, t = 96h	8
	Fertilized-SR	8
	Fertilized-WR	8
	disease	8
	Incubation 2.5mg/L H2O2, t = 48h	8
	10 ng Chlamydia spike-in	8
	Lake 0m, t = 48h	8
host-associated	KO 3 month separately-housing	8
	diarrhea	8
	0 ng Chlamydia spike-in	8
	Lake 5m, t = 48h	8
	control ileum	8
	Lake 5m, t = 24h	8
	21 m from transect origin	8
	Lake 0m, t = 96h	8
	20 m from transect origin	8
host-associated	KO 2 month separately-housing	8
	Lake 0m, t = 5h	8
	5 ng Chlamydia spike-in	8
	18 m from transect origin	8
	antibiotics Lycium barbarum1.5%	8
	CD	8
	antibiotics	8
	Incubation 10mg/L H2O2, t = 96h	8
	harvesting culture stage	8
	Incubation 10mg/L H2O2, t = 24h	8
	UC	8
	Incubation 10mg/L H2O2, t = 48h	8
	norma	8
	health	8
	Incubation 2.5mg/L H2O2, t = 24h	8
	OpenTopChamber, Fertlized-SR	8
host-associated	KO After-cohousing	8
	inoculated	8
host-associated	KO	8
host-associated	KO 1 month separately-housing	8
	Control-WR	8
	Control-SR	8
	Incubation 0mg/L H2O2, t = 96h	8
	12 m from transect origin	8
	OpenTopChamber, Fertlized-WR	8
	OpenTopChamber-SR	8
	Cr-treated gut	8
	OpenTopChamber-WR	8
	High Fat Diet	8
host-associated	Post_natal_P17	7
	rearing culture stage	7
	Incubation 2.5mg/L H2O2, t = 96h	7
	juvenile culture stage	7
	15 m from transect origin	7
	3 m from transect origin	7
host-associated	None	7
host-associated	Post_natal_P7	7
	8 m from transect origin	7
	High Ammonium	7
host-associated	WT 2 month separately-housing	7
	VNMAA	6
	ASD4	6
	Sulfate-reducing PAHs microcosms	6
	Sulfate-reducing n-alkanes microcosms	6
soil	pot trial inorganic fertiliser	6
soil	pot trial organic fertiliser	6
	Sulfate-reducing	6
soil	pot trial control	6
	High phosphorus	6
	3 days before cannulation surgery	6
	Paper mulberry material	6
	Methanogenic n-alkanes microcosms	6
	Ningxiang	6
	Methanogenic PAHs microcosms	6
	Nitrate-reducing	6
	Nitrate-reducing PAHs microcosms	6
	Nitrate-reducing n-alkanes microcosms	6
	Nitrogen, Phosphorus	6
	Methanogenic	6
	14 days before cannulation surgery	6
	MTC	6
	Low Nitrate	6
	Low Ammonium	6
	Paper mulberry silage	6
	Grass soil	6
	Qaidam lake	6
	Qinghai lake	6
	High N	6
	RSV10	6
	RSV20	6
	RSV50	6
	23 m from transect origin	6
	1 day before cannulation surgery	6
	Group Union	6
	Group Polysaccharides	6
	Group Control	6
	Group 5FU	6
	ASD6	6
	Ferric-reducing PAHs microcosms	6
	stage1 under sterility	6
	normal month12	6
	Cd2	6
	Cd1	6
	low Lycium barbarum	6
	low N	6
	low salt	6
	normal diet	6
	normal diet and SCE	6
	normal month1	6
	phosphorus	6
	D4	6
	salmon	6
	small gravel	6
	soil	6
	disease gut	6
	stage1 under fertility	6
	dietary protein level with 9.64%	6
	stage2 under fertility	6
	dietary protein level with 13.87%	6
	D6	6
	D24	6
	stage3 under fertility	6
	fungal of young yak	6
	high salt	6
	Control N	6
	large gravel	6
	Con	6
	Changsha	6
	Changde	6
	Cephalexin	6
	Cd6	6
	fungal of old yak	6
	D2	6
	fungal of adult yak	6
	Cd5	6
	Cd4	6
	Cd3	6
	D0	6
	XYD0	6
	D11	6
	D17	6
	stage2 under sterility	6
	high Lycium barbarum	6
	stage3 under sterility	6
	bacterial of adult yak	6
	uninfected	6
microbial mat_biofilm	marine water	6
microbial mat_biofilm	heterotrophic_biofilm	6
	Ferric-reducing n-alkanes microcosms	6
	Ferric-reducing	6
	ASD0	6
	ASD11	6
microbial mat_biofilm	biofilm	6
	ASD17	6
	ASD2	6
host-associated	benchControl	6
	ASD24	6
	Aerobic	6
host-associated	human_control	6
	bacterial of young yak	6
microbial mat_biofilm	probiotic_biofilm	6
	uncontaminated	6
	alcohol diet and SCE	6
	treat gut	6
	dietary protein level with 12.48%	6
	XYD11	6
	XYD17	6
	treat 24h under alkali stress	6
	dietary protein level with 11.25%	6
host-associated	WT After-cohousing	6
	treat 6h under alkali stress	6
	XYD2	6
	XYD24	6
	XYD4	6
	XYD6	6
	Xiangyin	6
	alcohol diet	6
	bacterial of old yak	6
host-associated	KO 8w after separation	5
host-associated	10_wks Jax	5
host-associated	BDL	5
host-associated	Control (CNT)	5
	therapeutic	5
	toxic	5
host-associated	KO Seperately-housing 3-day DSS	5
	sleep deprivation with single does melatonin supplementation	5
	sleep deprivation with double does melatonin supplementation	5
	sleep deprivation	5
host-associated	Ctr	5
host-associated	KO 11w after separation	5
host-associated	DN	5
host-associated	DSS	5
host-associated	32_wks Tac	5
host-associated	32_wks Jax	5
host-associated	10_wks Tac	5
	no salmon	5
	XOS1	5
	Phosphorus	5
host-associated	KO Seperately-housing 5-day DSS	5
	Replicate 2, Dilution 3	5
	Replicate 2, Dilution 5	5
	Replicate 2, Dilution 6	5
	disease ileum	5
	disease duodenum	5
	disease colon	5
	Replicate 2, Dilution 7	5
	Replicate 3, Dilution 1	5
	Replicate 3, Dilution 2	5
	Replicate 3, Dilution 3	5
	Replicate 3, Dilution 4	5
	Replicate 3, Dilution 5	5
	Replicate 3, Dilution 6	5
	Replicate 3, Dilution 7	5
	control jejunum	5
	Restraint stress	5
	Restraint stress with melatonin supplementation	5
	S1-AO	5
	S1-CON	5
	S1-LR	5
	S2-AO	5
	S2-CON	5
	S3-AO	5
	S3-CON	5
	S3-LR	5
host-associated	WT Seperately-housing Pre-DSS	5
	control duodenum	5
	control colon	5
	Replicate 2, Dilution 4	5
	Replicate 2, Dilution 2	5
host-associated	KO Seperately-housing Pre-DSS	5
	Replicate 2, Dilution 1	5
host-associated	LIP	5
host-associated	LIP ABX combination	5
host-associated	LIP Doripenem	5
host-associated	LIP Metronidazole	5
host-associated	LIP Neomycin	5
host-associated	LIP Vancomycin	5
host-associated	LiverNeo	5
host-associated	Neo	5
	grzaing stage	5
	Papain	5
	Papain + Lactobacillus plantarum	5
	feedlot feeding day 7	5
	feedlot feeding day 4	5
	feedlot feeding day 16	5
	feedlot feeding day 11	5
	feedlot feeding day 1	5
host-associated	Sham	5
host-associated	Vanco	5
host-associated	WT	5
	disease jejunum	5
	Replicate 1, Dilution 1	5
	Replicate 1, Dilution 2	5
	Replicate 1, Dilution 3	5
	Replicate 1, Dilution 4	5
	Replicate 1, Dilution 5	5
	Replicate 1, Dilution 6	5
	Replicate 1, Dilution 7	5
	Lactobacillus plantarum	5
	S2-LR	5
	Elymus sibiricus soil	5
	Alfalfa soil	5
	Healthy plants at heading stage	5
	Diseased plants at heading stage	5
	arch_amoA_US_cDNA_7.6	4
	10 oC	4
	arch_amoA_HS_DNA_11	4
	arch_amoA_HS_DNA_10	4
	arch_amoA_HS_DNA	4
	low phosphorus	4
	Field 1_plot 1	4
	Field 1_plot 2	4
	Field 1_plot 3	4
	Field 1_plot 4	4
	R	4
	control group	4
	baicalin group	4
	Field 2_plot 2	4
	HR	4
	RZ	4
	Field 2_plot 3	4
host-associated	WT 3w after separation	4
	pit B-4-2 fermentation day30	4
	pit B-4-2 fermentation day2	4
	pit B-4-2 fermentation day15	4
	arch_amoA_HS_DNA_9	4
	arch_amoA_HS_cDNA	4
	arch_amoA_US_cDNA_9	4
	arch_amoA_HS_cDNA_10	4
	arch_amoA_US_cDNA_11	4
	arch_amoA_US_cDNA_10	4
	arch_amoA_US_cDNA	4
	arch_amoA_US_DNA_9	4
	PCK 1	4
	PCK 2	4
	PCK 3	4
	arch_amoA_US_DNA_7.6	4
	arch_amoA_US_DNA_11	4
	100% moist 20 °C	4
	100% moist 10 °C	4
	PMA 1	4
	PMA 2	4
	PMA 3	4
	second regular operation	4
	arch_amoA_US_DNA_10	4
	arch_amoA_US_DNA	4
	arch_amoA_HS_cDNA_9	4
	pit B-4-2 fermentation day10	4
	arch_amoA_HS_cDNA_11	4
	Diseased 5	4
	pit B-1-9 fermentation day5	4
	SJ40	4
	model group	4
	glucose medium	4
	pit A-2-22 fermentation day0	4
	The third instar larvae	4
	The second instar larvae	4
	The first instar larvae	4
	SE5	4
	SE6	4
	SJ20	4
	SJ80	4
	pit B-1-9 fermentation day2	4
	SJCK	4
	ethanol medium	4
	TB_Z	4
	TB_RZ	4
	TB_R	4
	TB_HZ	4
	TB_HR	4
	TB_H	4
	T0	4
	Unfractioned, QIAamp DNA Stool	4
	pit A-2-22 fermentation day10	4
	pit A-2-22 fermentation day15	4
	pit A-2-22 fermentation day2	4
	Z	4
	pit B-1-9 fermentation day15	4
	pit A-4-24 fermentation day5	4
	pit A-4-24 fermentation day30	4
	H	4
	Field 2_plot 4	4
	Field 3_plot 1	4
	Field 3_plot 2	4
	Field 3_plot 3	4
	Field 3_plot 4	4
	DNA-SIP samples from the heavy fraction in incubations amended with 13C-bicarbonate, sulfur and lepidocrocite	4
	DE5	4
	donor	4
	With mussel	4
	Flour	4
	pit A-4-24 fermentation day15	4
	pit A-4-24 fermentation day0	4
	pit A-2-22 fermentation day5	4
	pit A-2-22 fermentation day30	4
	pit B-1-9 fermentation day30	4
	Field 2_plot 1	4
	Diseased 3	4
	BH3CK 1	4
	BH2MA 2	4
	Healthy 9	4
	BH2MA 3	4
host-associated	KO 9w after separation	4
	Diseased 2	4
	Diseased 1	4
	Healthy 8	4
host-associated	WT Seperately-housing 5-day DSS	4
host-associated	WT Seperately-housing 3-day DSS	4
host-associated	WT After-cohousing Pre-DSS	4
	BH3MA 1	4
	Healthy 7	4
	Healthy 6	4
	Healthy 5	4
	Healthy 4	4
	BH3CK 2	4
	BH3CK 3	4
	Healthy 3	4
	Healthy 2	4
	Healthy 1	4
host-associated	KO After-cohousing 3-day DSS	4
	histamine	4
host-associated	KO After-cohousing 5-day DSS	4
	20 oC	4
	Juvenile	4
	Diseased 6	4
	Adult	4
	Diseased 7	4
	Diseased 8	4
	70% moist 20 °C	4
	70% moist 10 °C	4
	BH1CK 1	4
	BH1CK 2	4
	BH1CK 3	4
	BH1MA 1	4
	BH1MA 2	4
	BH1MA 3	4
	BH2CK 1	4
	high fat	4
	BH2CK 2	4
	BH2CK 3	4
	BH2MA 1	4
	Diseased 4	4
	HZ	4
	Solids-removed thin stillage fed, 1 d SRT, 55C, pH 5.0	4
host-associated	WT 6w after separation	4
	15 oC	4
host-associated	KO 4w after separation	4
	Diseased 9	4
	lactic acid medium	4
host-associated	KO After-cohousing Pre-DSS	4
host-associated	WT 4w after separation	4
	25 oC	4
host-associated	WT After-cohousing 3-day DSS	4
host-associated	WT After-cohousing 5-day DSS	4
	BH3MA 3	4
	No mussel	4
	BH3MA 2	4
	ck	4
host-associated	KO 6w after separation	4
	Corn meal material	3
	normal day10	3
	Corn meal 30 addition	3
	Corn meal 20 addition	3
	ambient sw	3
	normal day15	3
	normal day25	3
	normal day45	3
	Corn meal silage	3
	3785m 1	3
	normal in the Linzhi	3
	normal in the Rikaze	3
	normal in the Shannan	3
	normal day75	3
	Corn	3
host-associated	Post_natal_P16	3
	Corn meal 10 addition	3
	no alizarin red treament	3
	normal with 24h 300mmol/l mannitol	3
	channel under hydraulic retention time of 456 min	3
	gre stable 10	3
	mutant with 24h 300mmol/l mannitol	3
	channel under hydraulic retention time of 74 min	3
	gre stable 15	3
	milk replacer day75	3
	milk replacer day45	3
	milk replacer day25	3
	milk replacer day15	3
	milk replacer day10	3
	gre stable 5	3
	first regular operation	3
	field Hancheng	3
	field Tianshui	3
	end ammonium removal	3
	high N P 0-5cm soil depth	3
host-associated	gametocytes 144 h post-infection	3
host-associated	excysted sporozoites	3
	3289m 2	3
	escherichia coli gut	3
	3289m 3	3
	blank control n-alkanes microcosms	3
	end 10-13% NO	3
	field Tianjin	3
	T6	3
	T5	3
	T4	3
	T3	3
	T2	3
	T1	3
	beginning 1-5% NO	3
	high N P 10-20cm soil depth	3
	high N P 5-10cm soil depth	3
	high amoxicillin	3
	3289m 1	3
	field Taiyuan	3
	field Linfen	3
	Under 25cm_1	3
	field Baoding	3
	fermented 30d	3
	fermented 0d	3
	low matrine	3
host-associated	soil type	3
	low fat	3
	Tall Fescue near rhizosphere	3
	Tall Fescue middle rhizosphere	3
	Tall Fescue far rhizosphere	3
host-associated	Post_natal_P9	3
	eugenol treated	3
	low amoxicillin	3
	middle salt	3
	ck 10-20cm soil depth	3
	Under 25cm_2	3
	Y pit day15 fungi	3
	Z pit day3 bacteria	3
	Z pit day15 fungi	3
	Z pit day15 bacteria	3
	Z day5 fungi	3
	Z day5 bacteria	3
	Z day3 fungi	3
	Z day3 bacteria	3
	Z day1 fungi	3
	Z day1 bacteria	3
	3785m 3	3
	Yersinia ruckeri	3
	YR-hlyB	3
	Y pit day30 fungi	3
	Y pit day30 bacteria	3
	Y pit day3 fungi	3
	Z pit day3 fungi	3
	Z pit day30 bacteria	3
	Z pit day30 fungi	3
	low stocking density	3
	alizarin red treament 7 hours	3
	alizarin red treament 3 hours	3
	alizarin red treament 14 hours	3
	alizarin red treament 10 hours	3
	high N 5-10cm soil depth	3
	arch_amoA_HS_DNA_7.6	3
	low temperature 3d	3
host-associated	KO 3w after separation	3
	high N 10-20cm soil depth	3
	DNA-SIP samples from the light fraction in incubations amended with 13C-bicarbonate, cellulose and lepidocrocite	3
	Indian mustard middle rhizosphere	3
	high N 0-5cm soil depth	3
	Control temperature	3
	arch_amoA_HS_cDNA_7.6	3
	Y pit day3 bacteria	3
	Y pit day15 bacteria	3
	Under 25cm_3	3
	Y day5 fungi	3
	Wheat	3
	high salt 7d	3
	Following 48 Freeze-Thaw Cycles	3
	maturity	3
	gre variable 5	3
	medium amoxicillin	3
	medium matrine	3
	high salt 3d	3
	VANM	3
	high salt 1d	3
	high matrine	3
	ck 5-10cm soil depth	3
	ck 0-5cm soil depth	3
	gre variable 15	3
	gre variable 10	3
sediment	time	3
	Flavobacterium psychrophilum-7d	3
	high stocking density	3
	Y day3 bacteria	3
	3785m 2	3
	Y day5 bacteria	3
	Y day3 fungi	3
	laboratory nonviruliferous	3
	laboratory viruliferous 10d	3
	laboratory viruliferous 20d	3
	Y day1 fungi	3
	4	3
	Y day1 bacteria	3
	laboratory viruliferous 5d	3
	beginning ammonium removal	3
	lactobacillus escherichia coli gut	3
	lactobacillus gut	3
	Flavobacterium psychrophilum-3d	3
	blank control PAHs microcosms	3
	Indian mustard near rhizosphere	3
	seeding	3
	SMFC-2	3
	P 10-20cm soil depth	3
water	water_presentday	3
	P 0-5cm soil depth	3
	100mM NS 5d	3
	pit A-4-24 fermentation day10	3
	Replicate 2, run 2	3
	sew stable 5	3
water	water_elevtemp_elevCO2	3
	SMFC-1	3
	Replicate 2, run 1	3
water	water_elevtemp	3
	Separate-2	3
	sew variable 10	3
	sew variable 15	3
	sew variable 5	3
	pit B-4-2 fermentation day5	3
	Replicate 1, run 1	3
water	water_elevCO2	3
	Replicate 1, run 2	3
	1	3
	pit B-1-9 fermentation day10	3
	pit A-4-24 fermentation day2	3
	P 5-10cm soil depth	3
	100mM NS 3d	3
	100mM NS 1d	3
	Replicate 3, Dilution 8	3
	Replicate 3, run 1	3
	Replicate 3, run 2	3
	HRZ	3
	polluted in the Linzhi	3
	polluted in the Rikaze	3
	polluted in the Shannan	3
	pH	3
	Rice bran	3
	Rice bran 10 addition	3
	Rice bran 20 addition	3
	Rice bran 30 addition	3
	pupae	3
	Rice bran material	3
	Rice bran silage	3
	Prior to Freeze-Thaw Cycling	3
	Ryegrass-vegetated soil	3
host-associated	GF	3
host-associated	Diet	3
	Paper mulberry plus wheat bran	3
	Paper mulberry plus rice bran	3
	Paper mulberry plus corn bran	3
	Replicate 2, Dilution 8	3
	6_15cm_1	3
	Replicate 1, Dilution 8	3
	3	3
	swe stable 15	3
	warming	3
	150mM NaCl 12h	3
	Low temperature two day	3
	Low temperature three day	3
	Low temperature one day	3
	Low temperature four day	3
	150mM NaCl 1d	3
	2185m 3	3
	2185m 2	3
	2185m 1	3
	150mM NaCl 24h	3
	2	3
	150mM NaCl 7d	3
	150mM NaCl 72h	3
	150mM NaCl 3d	3
	Indian mustard far rhizosphere	3
	thiram ileum	3
	unplanted soil	3
	swe stable 10	3
	warming and N addition	3
	6_15cm_3	3
	6_15cm_2	3
	workers	3
	NA-1	3
	NR-1	3
	NR-2	3
	N/A	3
	N addition	3
	N P 5-10cm soil depth	3
	NA-2	3
	N P 10-20cm soil depth	3
	N P 0-5cm soil depth	3
	N 5-10cm soil depth	3
	N 10-20cm soil depth	3
	N 0-5cm soil depth	3
	Simultaneous-2	3
	Simultaneous-1	3
	Bare soil	3
	Replicate 1, dilution 1, run 1	2
	Replicate 1, dilution 5, run 1	2
	Replicate 1, dilution 3, run 2	2
	Site 1 25cm-deep 3	2
	Replicate 1, dilution 4, run 2	2
	Replicate 1, dilution 4, run 1	2
	Replicate 1, dilution 1, run 2	2
	Replicate 1, dilution 3, run 1	2
	Replicate 1, dilution 2, run 2	2
	DNA Blank	2
	Replicate 1, dilution 2, run 1	2
	Replicate 2, dilution 1, run 1	2
	Replicate 1, dilution 5, run 2	2
	Replicate 1, dilution 6, run 1	2
	Replicate 1, dilution 6, run 2	2
	Replicate 1, dilution 7, run 1	2
	Replicate 1, dilution 7, run 2	2
	Replicate 1, dilution 8, run 1	2
	Replicate 2, dilution 1, run 2	2
	Replicate 1, dilution 9, run 1	2
	Replicate 2, dilution 3, run 2	2
	Replicate 2, dilution 3, run 1	2
	Replicate 2, dilution 2, run 2	2
	Replicate 1, dilution 9, run 2	2
	Replicate 2, dilution 2, run 1	2
	Replicate 1, dilution 8, run 2	2
	Site 1 25cm-deep 2	2
	Reigous water	2
	Bulk soil, cultivator tratment with reduced (50%) nitrogen fertilization	2
	FL_A	2
	Dust	2
	Bulk soil, ploughed with standard nitrogen fertilization and use of pesticides	2
	Not UV treated	2
	Bulk soil, ploughed with reduced (50%) nitrogen fertilization	2
host-associated	merozoites 118 h post-infection	2
