env_package	samp_collect_device	count
	Collected by lowering tubing to desired depth and filling sample bottles using a peristalitic pump	220
	DNA was extracted from 200mg of stool with QIAamp Fast DNA Stool Mini Kit	219
miscellaneous natural or artificial environment	swab	219
	8 mL sterile tube with screw cap	216
	3um	216
	0.22um	216
	sterile bottle and shovel	215
	scalpel	214
	1L Nylgene bottle	213
	Vials	213
	['', 'PVC tube 50 mm diam.']	212
	Bat was mistnetted, place in clean linen bag and allowed to defecate	211
	narrow spoon spatula and universal transport medium (UTM)	206
	Gravity Core	206
	in vitro culture	205
	bronchoscopy	205
	composited soil cores	204
	0.2 µm filter	203
	sterile swab	201
	box corer	201
	plastic petri-dishes	200
	aseptic bag	197
	cloacal swab	196
	filter membrane	196
	Amies Copan E-swab	195
	McLane WTS_LV in situ pumps, pre-combusted glass fiber filters with 142 mm diameter and 0.7 um pore size	195
	Burkard 7-day volumetric spore trap	193
	Hedwin Cubitainers	193
	1 meter soil corer, subsampled with metal spatula	192
	Sterile Swab	192
	none	192
	15 cm deep soil cores of 2 inch diameter, 10 cm away from the base of plant stem (mix of both rhizospehre and bulk soil)	192
	Sterivex filter	191
	biofilm biomass was scraped from upper surface of submerged rocks	191
	Niskin and hand winch	191
	0.2 micron sterivex	191
	stool	190
	mucosal lavage	190
	shovel/trowel	189
	sterile dental calculus scraper	188
	Sterile flocked swab (Copan 501CS01)	187
	pre-moistened swab	186
	anaerobic wheat straw bioreactor	186
	field collection	184
	soil core 1-10 cm deep	183
	Salivette® Cortisol	181
	frozen	181
human-gut	swab	181
	skin swab	181
	coral heads were sampled using sterile bolt cutters or a sterile chisel with a minimum of 5 cm between each sampling site on the same coral head. Coral fragments were placed into RNAlater on site and then immediately placed in a cooler containing dry ice.	180
	ITS1 gene sequencing	180
	flagging (1 sqm. white drape)	180
	unprepped flexible sigmoidoscopy	180
	Sanitized soft brush	180
	soil core sampler with diameter 2.5 cm	180
	SBE-25 0352	179
	cryotube	179
	Manual	178
	7-inch histology brush (2199, Puritan Medical Products)	177
	5 ml tube	176
	Dragging/flagging	175
	eppendorf	174
	Volumetric spore trap (Burkard Manufacturing Co Ltd)	173
	liquid nitrogen	173
	sediment push core	172
	Grab sampler	172
	Curette	170
	3G_ESP	168
	soil core (0 - 10 cm depth)	168
	manual swabbing	168
	Eppendorf vial	168
	Magenta Box	164
	Grab	164
	Van Veen sediment grab	162
	EP tubes	162
	Flushed catheter lumen	161
	sterile Gracey curette	160
	wooden spatula and sterile containers	160
	DOI:10.1186/s40168-019-0743-1	160
	Fresh fecal sample	160
	1-L Polypropylene Bottle	159
	Trigger Weight Core	158
	Wildco Water Sampler	158
	Ticks were collected from wildlife and stored in 70% ethanol.	158
	Seabird 9/11 plus CTD	157
	saw to produce shavings	157
	Manta Trawl	156
	Niskin bottle on rosette	156
	Collected after slaughter	156
	Trap	156
	esophageal tube	155
	Not collected	154
	Surgical instruments	154
	Sterile metal spatula	154
	soil sampling ( 15 cm depth)	153
	Sediment core	153
	Eppendorf tube, liquid nitrogen frosting	153
	Sterile forceps	153
	dustfall collector	152
	balance	152
	sediment push-coring	152
	Peristaltic Pump	152
	Van Dorn	151
	Whole leaf	151
	Plastic bottle	151
	McLane sediment trap	150
	Split tube auger, 8.3 cm diameter	150
	Water column filtration (0,2 uM)	147
	Sterile centrifuge tube	147
	PVC core, .308m length .0508 diameter	146
	Wirewalker sediment trap	146
	tissue core	146
	Soil probe	146
	CTD/SBE911_Rosette_with_Niskin_bottle	146
	RNALater containing tubes, shipped at room temperature and stored at -80°C until processing	145
	syringe, 2x 15 ml, spin down, decant, freeze	145
	0.2 um polycarbonate membrane filter	145
	stony soil auger	144
	sterile cotton swab	144
	Soil cores (2cm wide x 20 cm deep)	144
	Surface water was collected with Niksin bottle and transferred into sterile sampling bags	144
	Water prefiltered on 5m, sample collected on 0.22 m filter	143
	FLOQSwabs™ (COPAN, USA)	143
	Expectorated stimulated saliva	143
	-	142
	50 ml Falcon tube	142
	15x2.2 cm metal soil core sampler	141
	Van veen grab	141
	Scraping	140
	Limnos sampler	140
	Upper endoscopy	140
	sterile spatula	140
	rectal swabs (Sarstedt, PS/Viscose)	140
	Russian corer	139
	paticle net trap	139
	Niskin	138
	FLOQSwab	138
	beef rinsed by 0.1% peptone water	138
	Flocked Swab	138
	small cage with UV sterilized parchment paper	137
	Collected manually from digging and sieving sediment	136
	Core soil samplers	136
	PVC corer of 7.5 cm in diameter.	135
	fecal	135
	Illumina Miseq	134
	scraping rock	134
	Composite	134
	Sterile PE gloves	133
	Corer	133
	Sterivex filter with 0.45 micrometer pore size membrane	133
	Nasal Swabs	133
	aseptic extraction using scalpel from flame sterilized liver abscesses	133
	CTD Rosette/Niskin bottle	132
	topsoil (7cm) with soilcorer	132
	0.45 μm cellulose nitrate filter, peristaltic pump	132
	Copan swab	132
human-gut	self-sample	130
	Fecal sample	130
	sterile syringe	130
	0.22 um Sterivex filter	129
	mortar and pestle grinding of liquid nitrogen frozen roots	128
	Vacutainer	127
	DNA/RNA Shield Collection Tube with Swab (2ml fill)	127
	gloves	127
	Collect manually from digging and sieving sediment	126
	Steril forceps	126
	sterile swabs	126
	Van Dorn bottle	126
	1.6 cm wide by 20 cm deep soil probes	126
	GeneFiX Saliva DNA Collection device	125
	directly by disposable sampler	125
	ROV push corer	124
	Nutrient Diffusing Substrata	124
	sterile petri dish	123
	grab sample	123
	Urine collected into 15ml tube with 830µl of AssayAssure® Genelock	122
	collected in empty tubes	121
	Autosampler	121
	Swabbed for 10 seconds with cotton soaked in sampling buffer	120
	cheese trier	120
	Soil core auger (10 cm depth, 2.5 cm diameter)	120
	Flexible sigmoidoscopy	120
	Ekman Grab	119
	Entomological net, dry ice, sterile tubes	119
	vaginal swab	119
	PVC settlement plates	119
	leaf litter decomposition bag	118
	Spoon, sterilized with ethanol	118
water	Incubation	118
	Sigma SD900	118
	Metal shovel or dredge	117
	Metal shovel or auger	117
	wide-bore pipette tip into microcentrifuge tube	117
	soil_corer	116
	envrionmental DNA water grab sample	116
	cutting ring	116
	sterile Whirl-Pak bag	116
	Reagent	116
	scraping	115
	plastic sterile milk samplers	115
	150 um net	115
	dragging white flannel flags	115
	PES filter	114
	Sargassum fragment	112
	cecum content	112
	Fresh Water Surface Grab (6 inch)	112
	Lung brush	112
	filtered water	111
	sediment trap	111
	mucosa and faeces scraped from distal intestine	111
	16S amplicon sequencing	111
	glass vial with approx. 2mL tap water	110
	collected in Cary-Blair medium tubes	110
	Sterile syringes with long metal niddles	110
	forcep/scalpel	110
	recirculation line	110
	Conductivity-temperature-depth (CTD) casts with a 24 Niskin bottle (10L) rosette sampler (SBE 911plus/917plus, SeaBird oxygen sensor (SBE43), Seapoint fluorometer, Wetlabs C-Star transmissometer)	110
	columnar sampler	110
	Catch All Swabs	110
	Metagenomic DNA extracted using the FastDNATM SPIN Kit for Soil	109
	Fecal Collection Tube	109
	plankton net	109
	in-growth mesh bags	109
	Rinsed whole larvae	109
	Filtering (0,2µ pore)	109
	RNALater Tube	108
	wrasse creels and fyke nets	108
	95% Ethanol Tube	108
	ileum content	107
	Gut content squeezed and gut mucosa scraped into tubes with 1mL bactopeptone-Tween buffer	107
	WP2-90um	107
	spitting into 25 Falcon tube	106
	OMNIgen GUT Tube	106
	autosampler, 24h composite	106
	DNA from 40mg necromass	106
	Batch 1	105
	Zymo DNA/RNA Shield	105
	electrostatic dust collector	105
	Batch 2	105
	rayon swab	105
	dry flocked swab	104
	Rectal ampulla	104
	whole GI tract dissection	104
	2 mL sterile Eppendorf tube	103
	manual stripping	102
	Brisbane_aseptic_biopsy_device	102
	sampled into a 1.5 mL of Eppendorf tube	102
	Oral swab	102
human-gut	Fisher Brand Commode Specimen Collection System	101
	25mm GF/F filter	101
	6.35 x 15 cm AMS slide hammer corer	100
	Pump	100
	Van-veen grab	100
	nylon bag in cannulated rumen	100
	human tooth slab	100
	Endodontic paper points	100
	intrarectal	100
	Hand Milking	100
	ITS	100
	Sterilized shovel	100
	ERCP	100
	Soil core 5cm diameter	100
	Bertin Coriolis Delta¨	99
	centrifuge tube	99
	PVC core	99
	spitting	99
	sampling pole/bucket	99
	eSwab	99
	van veen grab	99
	CTAB extraction	98
	5 L water sampler	98
	commercial containers containing GuSCN solution	97
water	Remote Access Sampler	97
	Field experiment	96
	Mouse squeezed manually	96
	Stomach tubing	96
host-associated	Stomach tube	96
	Niskin Rosette	96
	Nasal swab	96
sediment	box corer	96
	Stock culture	96
	bottom mount pollen trap	96
	Forensic Swab, Nr 80.629, Sarstedt, Nuembrecht, Germany	96
	surface water was collected in a bottle	96
	Soil_auger	96
	cecal content	96
	DNA extraction from microbial biomass on a sterile swab and amplification of V3-4 region of SSU rRNA	96
	DUO SAS Super 360 (VWR)	96
	stainless steel soil probe	96
	Needless luer-lock syringe	95
	CDC biofilm reactors	95
	rumen canula	95
	Polycarb filter	95
	megacore	95
	Gracy currette	95
	plastic bottle	95
	0.22 micrometer Sterivex-GV Pressure Filter Unit	94
	2.8 mm drill bit	94
	2 cm diameter stainless steel auger	94
	tissue biopsy	94
	sterile spatulas	94
	0.22um Sterivex filter	94
	Lake Tow Sample	93
	In-Ex Method https://www.jove.com/video/54221/vacusip-an-improved-inex-method-for-situ-measurement-particulate	93
	pvc ring	93
	sterile pipette tip	93
	Carcass Rinsate	92
	Washed from roots of 3 corn plants	92
	Fecal grab from rectum	92
	Pipette	92
	sterile freezer vial	92
	Oragene kit (OG-500)	92
	individual fecal sampling in isolator	91
	water grab sample	91
	collected segments of washed roots of greenhouse seedlings	91
	N/A	91
	drill core (0.75 in)	90
	Autonomous Reef Monitoring Structures	90
	cervicovaginal lavage	90
	Sediment was collected from the top 2 cm	90
	xacto scraping pen	90
	ETV forest soil	90
	0.22 µm Sterivex-GP filter units (Merck Millipore, Darmstadt, Germany)	89
	HAPs corer	89
	0.20 µm filter	88
	paper piont	88
	spade	88
	Sterile auger	88
	CTD rosette: 24 Niskin bottles	88
host-associated	swab	88
	dip net	87
	Sterile spoon	87
	Roche 454 FLX instrument	87
	Planktonnet	86
	millipore swab	86
	sterile hand trowel	86
	WhatmanTM WB120205 FTATM Classic Cards (GE Healthcare Life Sciences, MA, USA)	86
	SEDIMENT	86
	Mason jar	86
	vacuum	86
	Litterbag	85
	drilling	85
	Van Dorn Sampler	85
	Collected with a bucket from middle of stream/river being careful not to disturb sediment.	85
	COPAN swab	84
	sterilized sieve and forceps	84
	Vial	84
	PVC tube 50 mm diam.	84
	Electrostatic Dust Collector	84
	2.0 ml Eppendorf Safe-Lock microcentrifuge tube	84
	Sampling kit of TechnoSuruga Laboratory Co.,Ltd.	84
	Soil Auger	84
	Field incubation of plastic strips	84
	collected with 50 mL tube manually	83
	RNAlater	83
	sterile rinse and filter	83
	Soil samples were collected using a hand-auger (30 cm long, 10 cm diameter collection head)	83
	ileum scrapings	83
	Baermann funnel	83
	Mobio Powersoil kit	83
	in vitro fermentation	83
	Run-off from nasogastric feeding tube	82
	Random sampling; collected via shovel	82
	direct of rectum with glove single-use	82
	Instead SoftCup	82
	cecum scrapings	82
	1.5 mL eppendorf tube	82
	Makita drill	82
	multicore	81
	seawater_intake	81
	0-10 cm soil sampled with cylinder and sieved on 2 mm	81
	environmental grab samples	81
	Stool Nucleic Acid Collection and Preservation System	81
	Multicorers (MUC) was deployed shipboard to collect sediment from the environment.	80
	Hess sampler	80
	Spitting into a plastic tube	80
	Feces collection	80
	4N6FLOQ Swab	80
	APC_Petrifilms	80
	piston-coring device	80
	"3/4"" AMS soil corer"	80
	ThinPrep Holologic, Marlborough, MA)	80
	sterile flocked swab	80
	Sterilized anaerobic bottle	80
	ROV manipulator	79
	Longseegen stool storage kit	79
	niskin bottle	79
	Fecal swab	78
	drill	78
	CTD cast	78
	2 mL cryotube	78
	plastic ziplock bag	78
	Surface water collection with a bucket from middle of bridges	78
	Sediment was collected using a small Van Veen grab and then a 3 mL subsample was collected for microbial analyses using a syringe core made out of a 10 mL syringe and placed into a 15 mL falcon tube	78
	Whole Bird Carcass Rinsate	77
	Sterile cup	77
	cryo-conservation tubes	77
	Sterile Pipette	77
	Scuba diving	77
	Bucket	77
	Subgingival biofilm was collected from the deepest periodontal site of each quadrant using hand curettes and from the buccal mucosa, dorsum of the tongue, and palate using cotton swabs.	77
human-oral	sterile paper point	77
	0.22 m filter	77
	Sterile glass pots on ward	76
	Shovel soil into falcon tube.	76
	Sterile double-tipped swab (Starswab II; Starplex Scientific Inc., Ontario, Canada)	76
	16S V4-V5 amplicon	76
	Piston Core	76
	PVC sediment corer (63 mm diameter)	76
	Small hammer and chisel	76
	soil auger 1.9 cm inner diameter	75
	1um > x > 0.22um sterivex filter	75
	swabing	75
	Peterson Grab	75
	SWAB	75
	Buffered_Peptone_Water	75
	1 cm Soil Corer	75
	6um and 1um filter	74
	Hammer and chisel	74
	Hand, rock, or wood chisel collected	74
	integrated water sample	74
	autonomous lander (Lander-II)	74
	Soil_Corer	74
	van-Veen grab	74
	76x20 mm faeces tube (Sarstedt, Germany)	74
	vacuum pump	74
	coring	73
	OMNIgene GUT stool kit	73
	333 ?m neuston net	73
	sterilized bottle	73
	oral swab	73
	sediment samples were collected using 15mL conical tubes from the study sites	73
	van Veen grab	73
	Soil dusted from roots	73
	Anaerobic digester	73
	PCR tube	73
	6um and 1um filters	72
	Shovel, sterile plastic bags, brush	72
	Soil was mixed thoroughly before sampling	72
	Tick drag cloth	72
	snorkelling	72
	ingrowth meshbags	72
	Probe	72
	cylindrical sampler with a diameter of 6 cm	72
	Biofilm tiles	72
	Squeeze of bovine colons at slaughter	72
	MOORE'S SWAB	72
	Niskin sampler - 10L	72
	50 ml polycarbonate tube	72
	3µm membranes	72
	mucosal aspirate during colonoscopy	72
host-associated	fresh faeces snap frozen in liquid nitrogen	72
	0.2µm membranes	72
	7 cm diameter push cores	71
	5 m filter	71
	Shimpeck grad	71
	open container (bucket)	71
	Skin scrape	71
	Replicate 3	70
	Filtration	70
	Campylobacter_Chromogenic_Plating_Media	70
	pushcore	70
	Replicate 2	70
	Puritan 15 cm sterile cotton swab with polystyrene handle	70
	sterile clipper	70
	0.4 um polycarbonate filter	70
	box core	70
	Replicate 1	70
	Aspiration by serological pipette	70
	1mL syringe	70
	one-liter enteral feeding bags (Kendall-Covidien – 702500) on SCUBA	70
	swab collection device	70
	sputum	69
	forceps	69
	soil pit & shovel	69
	Water prefiltered on 30micrometers filter, sample collected on 0.22 30micrometers filter	69
	Sterilized Bonecutters	69
	0.2 micrometer Polycarbonate filter	69
	seawater intake	68
	Niskin Bottle in Rosette	68
	Nasco Whirl-pak Bag	68
	sterile container	68
	collection of fresh feces	68
	Scrape	68
	Sterile borosilicate bottles	67
	Drill	66
	Light trap	66
	syringe-filtered (Whatman GF/C, Whatman, Maidstone UK; ca. 1.6 µm pore size)	66
	uterine culture tube	66
	Vertical water sampler bottle	66
	plastic core tube	66
	Five 0¨C10 cm-thick soil samples were randomly collected from each quadrat (1 m ¡Á 1 m) and immediately mixed into a single soil sample.	66
	21G needle into microcentrifuge tube	66
	sterile forceps	66
	16S rRNA V3-V4 amplicon sequencing	66
	4L Nalgene LDPE narrow mouth bottle	66
	na	66
	by hand and spatula	66
	bacteria loop	65
	None	65
	analytical filter cup with cellulose nitrate membrane	65
	Sediment core sampling	65
	hand spear or trap	65
	drone and petri dish	65
	MultiCorer	65
	NDS Discs	65
	1.5 ml microcentrifuge tube	64
	push core (diam. 2.8 cm)	64
	Amplicon sequencing	64
	glue	64
	sterile DNase, RNase, endotoxin-free 2.0-mL microcentrifuge tube with an O-ring cap	64
	box_corer	64
	24h-composite sample	64
	water canister	64
	Pre-moistened polyester wipe (9″ × 9″; ITW Texwipe, Mahwah, NJ)	64
	vacuum filtration of 200 um prefiltered seawater on 0.8 um pore-sized polycarbonate filters	64
	Pen floor	64
	Dry tube	64
	Collected at 3 m along the transecting line	63
	Collected at -3 m along the transecting line	63
	Collected at -46.5 m along the transecting line	63
	Sterivex Filters	63
miscellaneous natural or artificial environment	sea ice core drilling	63
	MOCNESS, 200 um mesh nets	63
	tweezers	63
	CTD rosette, Niskin	63
	supersucker	63
	Collected at 0 m along the transecting line	63
	fluortex adsorbent	63
	Collected at 27 m along the transecting line	63
host-associated	SCUBA	63
	Eppendorf tube	63
	['Collected with a long steel needle and syringe from the top of the frozen soil layer, and filtered onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	63
	Collected at 46.5 m along the transecting line	63
	Surface collecting by hand	63
soil	soil corer	63
	Collected at 9 m along the transecting line	63
	gravity corer	63
	1-meter soil core	63
	unknown	62
	Whirlpak	62
	pipette and flash frozen in L2N	62
	oral tubes	62
	ruttner	62
	BD SurePath Pap test brush	62
	Hand covered with a sterile glove	62
	metagenomic data	61
	plastic bag	61
	soil shaken from maize roots into plastic bag	61
	DB Influx	61
	Niskin type Bottle in Rosette	60
	Root tissue was trimmed and cleaned of soil	60
	Insect colonies	60
	rumen flora scoop	60
	scuba diving	60
	Collected within 1 meter of plant	60
	sterilized shovel	60
	DOI:10.1128/aem.01903-13	60
	Drilling core	60
	sterilized cryopreservation tubes	60
	Deep nasal swabs	60
	calypso corer	60
	in-situ bag	60
	Collected into a 10L carboy dipped below the surface near the center of the river channel	60
	Carefully removed from root tissue	60
	Soil auger	59
	Field	59
	1ml pipette	59
	in-growth sand bag	59
	A total rumen evacuation was performed and total rumen contents were used to isolate DNA.	59
	20 micrometer plankton net	59
	Ekman sampler	59
	9 cm diameter Kovacs ice-corer	59
	Syring without needle	58
	in situ	58
	contamination-protected Minitube uterine swab	58
	Ruttner Sampler	57
	1.14L Nalgene Glass bottle, Autoclaved and triple rinced	57
	3 composite soil cores, diam. 5 cm	57
	0.22 um filter	57
	Hirst spore trap	57
	Peristaltic pump into acid washed 50 L cubitainer	57
	PCR	57
	stainless-steel soil sampling tube	56
	illumina MiSeq	56
	Sterile anaerobic container	56
	Push core	56
	One-liter wide mouth Nalgene Bottle	56
	backpack electrofisher (Smith Root, LR-20)	56
	Norgen Nucleic Acid Preservation Tube	56
	Exposition to air	56
	pen floor fecal composites	56
	1 L Enteral Feeding Pouch	56
	Sterivex-GP 0.22 um pressure driven filter	56
	Two-stage cyclone sampler	56
	tube	56
human-oral	Falcon_tube	56
	free catch	55
	Sonication	55
	Oxford Nanopore Technologies	55
	sterile urine container	55
	Isohelix swabs (Isohelix, Cell Projects Ltd.)	55
	Collection 1 litter of water followed by filtration with nitrocellulose membranes (0.45 m pore) with the aid of a vacuum pump	54
	polyethylene bags	54
	mega corer	54
	Cast net	54
	Direct Rumen Sampling via Cannula	54
	sediment core	54
	DNA extraction and 16S amplicon sequencing (Illumina Hiseq PE300)	54
	Malaise Trap	54
host-associated	Manual collection	54
	approximately 15 kg of soil (0_15 cm depth) were sampled	54
	ctd	53
	Cultivation plates	53
	slaugher	53
	SIPRE auger	53
	Glass_plate	53
	PVC tube	53
	Automatic dry and wet deposition sampler	53
	sterile paper points	53
water	Niskin bottle	52
	submersible diving	52
	Filtration through polycarbonate filters (47 mm diameter, 0.2 μm pore size)	52
	Niskin bottle 10L	52
	Fecal swabs	52
	self-collected	52
	DNA extracted with the DNeasy PowerSoil kit (Qiagen, USA)	52
	submerisible pump	52
	Sterile lab plasticware; PMID:22763648	52
	OMNIgene•GUT | OMR-200	52
	Sterile container	52
	Blood draw	52
	Destructive sampling	51
	filtration through 10um pore filter	51
	A total rumen evacuation was performed.	51
	0.45 m pore filter, 250 mL	51
	['Collected with 1.5 m long sampling tubes inserted into the streambed following Greenwald et al. (2008) (doi:10.1029/2007JG000549), and filtered onto a 0.22 micron pore size Sterivex filter (Millipore)', '']	51
	oral lavage	51
	200 um net	50
	sterile glove	50
	Plastic sheeting attached to cardboard place underneath artifical roost with ~9 Leptonycteris yerbabuenae at the Fort Worth Zoo	50
	Sterile 1L Plastic Containers	50
	DNA extracted with the DNeasy PowerSoil kit (Qiagen, USA) and amplified by PCR with bactetial 16S rRNA primers	50
	Gauze	50
	Manually	50
	Unknown	50
	Sterilized frozen storage tube	50
	Plastic sheeting attached to cardboard place underneath cage containing two capitve female Antrozous pallidus bats at the Fort Worth Zoo	50
	0.04 micron filter	50
	throat swab	50
	Sampling was conducted via esophageal tubing and snap-frozen with liquid nitrogen	50
	Box corer	50
	"flame-sterilized 1"" diameter soil corer"	50
	Sediment collected with a trowel from ~30cm depth	50
	7 cm diameter push core or the BioBox	50
	multi-corer	50
	surgical material taken in the N.N. Blokhin National Medical Research Center of Oncology	50
	MC-400 Hedrick/Marrs Multi-Corer	50
	OMNIgene gut sample collection tube, DNA Genotek, Ottawa, Canada	50
	3 micron filter	49
	collected to 5cm depth with metal scoop	49
	Syringe and sterivex filter	49
	Remotely-operated vehicle (ROV)	49
	Marine Snow Catcher	49
	Grab sample	49
	blood agar	49
	sterilized drill and ziplock bags	49
	Endosphere	48
	2 mL sterile tube with screw cap	48
	2.5cm corer	48
	sterile tube	48
	Soil coring (AMS Inc., American Falls, ID, USA)	48
	hand corer, diameter 7.5 cm	48
	sediment grab	48
	Faecal content of the mouse from Caucum in an sterilized microfuge tube	48
	Eight-stage Andersen sampler	48
	Mixed liquor	48
miscellaneous natural or artificial environment	Cotton Swab	48
	sterile scissors	48
